WeekDay,Day,Month,Year,Tarih,Saat,Tuketim(MWh)
1,11,1,2016,11.01.2016,04:00,"23.839,28"
1,11,1,2016,11.01.2016,05:00,"24.358,46"
1,11,1,2016,11.01.2016,06:00,"25.800,81"
1,11,1,2016,11.01.2016,07:00,"27.336,03"
1,11,1,2016,11.01.2016,08:00,"32.683,24"
1,11,1,2016,11.01.2016,09:00,"35.710,94"
1,11,1,2016,11.01.2016,10:00,"36.707,21"
1,11,1,2016,11.01.2016,11:00,"37.289,29"
1,11,1,2016,11.01.2016,12:00,"35.723,20"
1,11,1,2016,11.01.2016,13:00,"36.053,20"
1,11,1,2016,11.01.2016,14:00,"36.383,06"
1,11,1,2016,11.01.2016,15:00,"36.013,19"
1,11,1,2016,11.01.2016,16:00,"36.848,54"
1,11,1,2016,11.01.2016,17:00,"37.368,40"
1,11,1,2016,11.01.2016,18:00,"35.697,30"
1,11,1,2016,11.01.2016,19:00,"34.482,37"
1,11,1,2016,11.01.2016,20:00,"33.526,95"
1,11,1,2016,11.01.2016,21:00,"32.634,16"
1,11,1,2016,11.01.2016,22:00,"32.791,35"
1,11,1,2016,11.01.2016,23:00,"31.147,83"
2,12,1,2016,12.01.2016,00:00,"29.161,64"
2,12,1,2016,12.01.2016,01:00,"27.519,24"
2,12,1,2016,12.01.2016,02:00,"26.256,43"
2,12,1,2016,12.01.2016,03:00,"25.766,11"
2,12,1,2016,12.01.2016,04:00,"25.808,92"
2,12,1,2016,12.01.2016,05:00,"26.222,03"
2,12,1,2016,12.01.2016,06:00,"27.290,07"
2,12,1,2016,12.01.2016,07:00,"28.628,67"
2,12,1,2016,12.01.2016,08:00,"32.817,04"
2,12,1,2016,12.01.2016,09:00,"34.991,32"
2,12,1,2016,12.01.2016,10:00,"35.653,04"
2,12,1,2016,12.01.2016,11:00,"36.011,52"
2,12,1,2016,12.01.2016,12:00,"34.256,45"
2,12,1,2016,12.01.2016,13:00,"34.650,74"
2,12,1,2016,12.01.2016,14:00,"34.934,00"
2,12,1,2016,12.01.2016,15:00,"34.785,11"
2,12,1,2016,12.01.2016,16:00,"35.690,28"
2,12,1,2016,12.01.2016,17:00,"36.566,50"
2,12,1,2016,12.01.2016,18:00,"35.055,97"
2,12,1,2016,12.01.2016,19:00,"33.912,94"
2,12,1,2016,12.01.2016,20:00,"33.131,98"
2,12,1,2016,12.01.2016,21:00,"32.332,76"
2,12,1,2016,12.01.2016,22:00,"32.523,14"
2,12,1,2016,12.01.2016,23:00,"30.906,87"
3,13,1,2016,13.01.2016,00:00,"28.823,02"
3,13,1,2016,13.01.2016,01:00,"27.321,69"
3,13,1,2016,13.01.2016,02:00,"26.265,24"
3,13,1,2016,13.01.2016,03:00,"25.879,07"
3,13,1,2016,13.01.2016,04:00,"25.685,09"
3,13,1,2016,13.01.2016,05:00,"26.018,14"
3,13,1,2016,13.01.2016,06:00,"27.012,72"
3,13,1,2016,13.01.2016,07:00,"28.420,19"
3,13,1,2016,13.01.2016,08:00,"32.572,38"
3,13,1,2016,13.01.2016,09:00,"35.554,83"
3,13,1,2016,13.01.2016,10:00,"36.427,94"
3,13,1,2016,13.01.2016,11:00,"36.962,04"
3,13,1,2016,13.01.2016,12:00,"35.458,54"
3,13,1,2016,13.01.2016,13:00,"35.858,18"
3,13,1,2016,13.01.2016,14:00,"36.201,35"
3,13,1,2016,13.01.2016,15:00,"36.012,25"
3,13,1,2016,13.01.2016,16:00,"36.785,82"
3,13,1,2016,13.01.2016,17:00,"37.173,82"
3,13,1,2016,13.01.2016,18:00,"35.574,06"
3,13,1,2016,13.01.2016,19:00,"34.298,68"
3,13,1,2016,13.01.2016,20:00,"33.580,53"
3,13,1,2016,13.01.2016,21:00,"32.554,09"
3,13,1,2016,13.01.2016,22:00,"32.836,52"
3,13,1,2016,13.01.2016,23:00,"31.307,88"
4,14,1,2016,14.01.2016,00:00,"29.225,99"
4,14,1,2016,14.01.2016,01:00,"27.650,42"
4,14,1,2016,14.01.2016,02:00,"26.656,23"
4,14,1,2016,14.01.2016,03:00,"26.235,10"
4,14,1,2016,14.01.2016,04:00,"26.136,04"
4,14,1,2016,14.01.2016,05:00,"26.689,30"
4,14,1,2016,14.01.2016,06:00,"27.652,89"
4,14,1,2016,14.01.2016,07:00,"29.176,95"
4,14,1,2016,14.01.2016,08:00,"33.352,18"
4,14,1,2016,14.01.2016,09:00,"35.814,77"
4,14,1,2016,14.01.2016,10:00,"36.809,99"
4,14,1,2016,14.01.2016,11:00,"37.010,75"
4,14,1,2016,14.01.2016,12:00,"35.461,46"
4,14,1,2016,14.01.2016,13:00,"35.859,72"
4,14,1,2016,14.01.2016,14:00,"36.279,45"
4,14,1,2016,14.01.2016,15:00,"35.936,67"
4,14,1,2016,14.01.2016,16:00,"36.827,63"
4,14,1,2016,14.01.2016,17:00,"37.481,89"
4,14,1,2016,14.01.2016,18:00,"36.195,39"
4,14,1,2016,14.01.2016,19:00,"34.914,82"
4,14,1,2016,14.01.2016,20:00,"34.091,81"
4,14,1,2016,14.01.2016,21:00,"33.323,90"
4,14,1,2016,14.01.2016,22:00,"33.345,01"
4,14,1,2016,14.01.2016,23:00,"31.938,60"
5,15,1,2016,15.01.2016,00:00,"29.667,03"
5,15,1,2016,15.01.2016,01:00,"27.961,70"
5,15,1,2016,15.01.2016,02:00,"26.760,14"
5,15,1,2016,15.01.2016,03:00,"26.351,43"
5,15,1,2016,15.01.2016,04:00,"26.190,00"
5,15,1,2016,15.01.2016,05:00,"26.646,35"
5,15,1,2016,15.01.2016,06:00,"27.845,52"
5,15,1,2016,15.01.2016,07:00,"29.266,49"
5,15,1,2016,15.01.2016,08:00,"33.637,71"
5,15,1,2016,15.01.2016,09:00,"36.386,28"
5,15,1,2016,15.01.2016,10:00,"36.970,50"
5,15,1,2016,15.01.2016,11:00,"37.103,17"
5,15,1,2016,15.01.2016,12:00,"34.121,26"
5,15,1,2016,15.01.2016,13:00,"35.523,17"
5,15,1,2016,15.01.2016,14:00,"35.717,39"
5,15,1,2016,15.01.2016,15:00,"35.343,51"
5,15,1,2016,15.01.2016,16:00,"36.473,19"
5,15,1,2016,15.01.2016,17:00,"37.425,77"
5,15,1,2016,15.01.2016,18:00,"36.019,98"
5,15,1,2016,15.01.2016,19:00,"34.574,97"
5,15,1,2016,15.01.2016,20:00,"33.756,40"
5,15,1,2016,15.01.2016,21:00,"33.140,33"
5,15,1,2016,15.01.2016,22:00,"33.272,46"
5,15,1,2016,15.01.2016,23:00,"31.803,26"
6,16,1,2016,16.01.2016,00:00,"29.790,90"
6,16,1,2016,16.01.2016,01:00,"28.108,68"
6,16,1,2016,16.01.2016,02:00,"26.867,16"
6,16,1,2016,16.01.2016,03:00,"26.241,31"
6,16,1,2016,16.01.2016,04:00,"25.928,60"
6,16,1,2016,16.01.2016,05:00,"26.137,31"
6,16,1,2016,16.01.2016,06:00,"26.617,72"
6,16,1,2016,16.01.2016,07:00,"27.115,23"
6,16,1,2016,16.01.2016,08:00,"30.856,87"
6,16,1,2016,16.01.2016,09:00,"33.419,96"
6,16,1,2016,16.01.2016,10:00,"34.766,44"
6,16,1,2016,16.01.2016,11:00,"35.336,99"
6,16,1,2016,16.01.2016,12:00,"34.062,01"
6,16,1,2016,16.01.2016,13:00,"33.973,61"
6,16,1,2016,16.01.2016,14:00,"33.592,64"
6,16,1,2016,16.01.2016,15:00,"33.087,78"
6,16,1,2016,16.01.2016,16:00,"33.693,47"
6,16,1,2016,16.01.2016,17:00,"34.599,67"
6,16,1,2016,16.01.2016,18:00,"33.773,40"
6,16,1,2016,16.01.2016,19:00,"32.770,63"
6,16,1,2016,16.01.2016,20:00,"32.167,64"
6,16,1,2016,16.01.2016,21:00,"31.414,53"
6,16,1,2016,16.01.2016,22:00,"31.666,20"
6,16,1,2016,16.01.2016,23:00,"30.292,67"
7,17,1,2016,17.01.2016,00:00,"28.125,56"
7,17,1,2016,17.01.2016,01:00,"26.344,08"
7,17,1,2016,17.01.2016,02:00,"25.233,20"
7,17,1,2016,17.01.2016,03:00,"24.526,40"
7,17,1,2016,17.01.2016,04:00,"24.131,34"
7,17,1,2016,17.01.2016,05:00,"24.277,13"
7,17,1,2016,17.01.2016,06:00,"24.149,15"
7,17,1,2016,17.01.2016,07:00,"23.448,70"
7,17,1,2016,17.01.2016,08:00,"24.484,28"
7,17,1,2016,17.01.2016,09:00,"26.064,26"
7,17,1,2016,17.01.2016,10:00,"27.602,68"
7,17,1,2016,17.01.2016,11:00,"28.719,23"
7,17,1,2016,17.01.2016,12:00,"28.965,99"
7,17,1,2016,17.01.2016,13:00,"29.082,02"
7,17,1,2016,17.01.2016,14:00,"29.060,19"
7,17,1,2016,17.01.2016,15:00,"28.859,44"
7,17,1,2016,17.01.2016,16:00,"29.986,06"
7,17,1,2016,17.01.2016,17:00,"31.083,39"
7,17,1,2016,17.01.2016,18:00,"31.046,20"
7,17,1,2016,17.01.2016,19:00,"30.619,87"
7,17,1,2016,17.01.2016,20:00,"30.216,41"
7,17,1,2016,17.01.2016,21:00,"29.589,83"
7,17,1,2016,17.01.2016,22:00,"29.593,28"
7,17,1,2016,17.01.2016,23:00,"28.448,52"
1,18,1,2016,18.01.2016,00:00,"26.425,24"
1,18,1,2016,18.01.2016,01:00,"25.112,59"
1,18,1,2016,18.01.2016,02:00,"24.197,23"
1,18,1,2016,18.01.2016,03:00,"23.839,79"
1,18,1,2016,18.01.2016,04:00,"23.756,17"
1,18,1,2016,18.01.2016,05:00,"24.217,87"
1,18,1,2016,18.01.2016,06:00,"25.384,09"
1,18,1,2016,18.01.2016,07:00,"27.192,81"
1,18,1,2016,18.01.2016,08:00,"32.775,65"
1,18,1,2016,18.01.2016,09:00,"36.291,76"
1,18,1,2016,18.01.2016,10:00,"37.563,39"
1,18,1,2016,18.01.2016,11:00,"38.417,27"
1,18,1,2016,18.01.2016,12:00,"37.351,08"
1,18,1,2016,18.01.2016,13:00,"37.971,52"
1,18,1,2016,18.01.2016,14:00,"38.264,20"
1,18,1,2016,18.01.2016,15:00,"37.831,23"
1,18,1,2016,18.01.2016,16:00,"38.590,57"
1,18,1,2016,18.01.2016,17:00,"38.930,54"
1,18,1,2016,18.01.2016,18:00,"37.080,02"
1,18,1,2016,18.01.2016,19:00,"35.590,81"
1,18,1,2016,18.01.2016,20:00,"34.669,59"
1,18,1,2016,18.01.2016,21:00,"33.765,00"
1,18,1,2016,18.01.2016,22:00,"33.590,16"
1,18,1,2016,18.01.2016,23:00,"32.035,19"
2,19,1,2016,19.01.2016,00:00,"29.648,05"
2,19,1,2016,19.01.2016,01:00,"28.023,28"
2,19,1,2016,19.01.2016,02:00,"26.957,35"
2,19,1,2016,19.01.2016,03:00,"26.389,70"
2,19,1,2016,19.01.2016,04:00,"26.152,72"
2,19,1,2016,19.01.2016,05:00,"26.578,69"
2,19,1,2016,19.01.2016,06:00,"27.561,29"
2,19,1,2016,19.01.2016,07:00,"29.127,56"
2,19,1,2016,19.01.2016,08:00,"34.277,14"
2,19,1,2016,19.01.2016,09:00,"37.597,73"
2,19,1,2016,19.01.2016,10:00,"38.680,75"
2,19,1,2016,19.01.2016,11:00,"39.329,86"
2,19,1,2016,19.01.2016,12:00,"37.912,15"
2,19,1,2016,19.01.2016,13:00,"38.232,32"
2,19,1,2016,19.01.2016,14:00,"38.431,48"
2,19,1,2016,19.01.2016,15:00,"37.914,67"
2,19,1,2016,19.01.2016,16:00,"38.254,38"
2,19,1,2016,19.01.2016,17:00,"39.006,28"
2,19,1,2016,19.01.2016,18:00,"37.419,61"
2,19,1,2016,19.01.2016,19:00,"35.893,88"
2,19,1,2016,19.01.2016,20:00,"35.024,97"
2,19,1,2016,19.01.2016,21:00,"34.132,03"
2,19,1,2016,19.01.2016,22:00,"34.201,22"
2,19,1,2016,19.01.2016,23:00,"32.449,57"
3,20,1,2016,20.01.2016,00:00,"30.139,50"
3,20,1,2016,20.01.2016,01:00,"28.410,88"
3,20,1,2016,20.01.2016,02:00,"27.406,34"
3,20,1,2016,20.01.2016,03:00,"26.722,59"
3,20,1,2016,20.01.2016,04:00,"26.551,26"
3,20,1,2016,20.01.2016,05:00,"27.065,87"
3,20,1,2016,20.01.2016,06:00,"28.039,32"
3,20,1,2016,20.01.2016,07:00,"29.469,19"
3,20,1,2016,20.01.2016,08:00,"34.531,37"
3,20,1,2016,20.01.2016,09:00,"37.962,23"
3,20,1,2016,20.01.2016,10:00,"38.993,86"
3,20,1,2016,20.01.2016,11:00,"39.668,13"
3,20,1,2016,20.01.2016,12:00,"38.295,21"
3,20,1,2016,20.01.2016,13:00,"38.719,27"
3,20,1,2016,20.01.2016,14:00,"39.016,83"
3,20,1,2016,20.01.2016,15:00,"38.583,86"
3,20,1,2016,20.01.2016,16:00,"39.061,14"
3,20,1,2016,20.01.2016,17:00,"39.678,86"
3,20,1,2016,20.01.2016,18:00,"37.842,79"
3,20,1,2016,20.01.2016,19:00,"36.242,08"
3,20,1,2016,20.01.2016,20:00,"35.265,50"
3,20,1,2016,20.01.2016,21:00,"34.442,99"
3,20,1,2016,20.01.2016,22:00,"34.423,91"
3,20,1,2016,20.01.2016,23:00,"32.661,51"
4,21,1,2016,21.01.2016,00:00,"30.396,19"
4,21,1,2016,21.01.2016,01:00,"28.597,47"
4,21,1,2016,21.01.2016,02:00,"27.458,63"
4,21,1,2016,21.01.2016,03:00,"26.728,84"
4,21,1,2016,21.01.2016,04:00,"26.819,66"
4,21,1,2016,21.01.2016,05:00,"27.295,21"
4,21,1,2016,21.01.2016,06:00,"28.233,77"
4,21,1,2016,21.01.2016,07:00,"29.534,69"
4,21,1,2016,21.01.2016,08:00,"34.553,08"
4,21,1,2016,21.01.2016,09:00,"37.885,31"
4,21,1,2016,21.01.2016,10:00,"39.233,35"
4,21,1,2016,21.01.2016,11:00,"39.895,48"
4,21,1,2016,21.01.2016,12:00,"38.431,05"
4,21,1,2016,21.01.2016,13:00,"37.369,73"
4,21,1,2016,21.01.2016,14:00,"38.991,04"
4,21,1,2016,21.01.2016,15:00,"38.424,45"
4,21,1,2016,21.01.2016,16:00,"38.816,10"
